200,2163,20,RL,9000,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,554.7252588,490.8628383,620.3390607,Ex,Y,SBrkr,941,0,2358,1.001999059,2,0,3,1,TA,5,0,1.998002859,381.014258,Y,0,0,7,2007,WD ,Normal,158000,157819.5382,180.4618311,,
3832,1862,20,RL,9600,Reg,Lvl,Inside,CollgCr,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,Gd,PConc,514.2179106,1711.943709,1286.011022,Ex,Y,SBrkr,894,0,1040,0.001999953,2,0,3,1,Gd,6,0,1.998002894,384.114652,Y,0,0,11,2007,WD ,Normal,145000,141724.2056,3275.794363,,
4927,754,20,RL,9600,Reg,Lvl,Inside,NridgHt,1Fam,1Story,9,5,2007,2007,Hip,VinylSd,VinylSd,Gd,PConc,1596.991227,511.2171965,1341.741207,Ex,Y,SBrkr,864,0,864,1.00199898,2,0,3,1,Gd,7,1,2.998015167,625.1403299,Y,0,0,5,2008,WD ,Normal,125000,123478.9758,1521.024189,,157983.4019
4088,641,80,RL,9600,Reg,Lvl,Inside,OldTown,1Fam,SLvl,6,6,1976,1950,Gable,VinylSd,Plywood,TA,CBlock,586.1823527,469.6858452,566.0696095,Gd,Y,SBrkr,864,0,864,0.001999779,1,0,3,1,TA,6,0,0.998002196,193.1562753,Y,0,0,7,2006,WD ,Normal,135000,141477.0272,-6477.027202,,
3644,754,20,RL,9600,Reg,Lvl,Inside,NoRidge,1Fam,1Story,7,5,1994,2002,Gable,VinylSd,VinylSd,Gd,PConc,1589.946047,484.3373516,1258.013116,Ex,Y,SBrkr,832,0,1040,1.001998452,2,0,3,1,Gd,7,1,2.998011867,617.9037663,Y,0,0,7,2007,WD ,Normal,175000,182983.4661,-7983.466062,,
3323,126,20,RL,9600,Reg,Lvl,Inside,SawyerW,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,Gd,PConc,568.4313071,1714.980886,1207.230112,Ex,Y,SBrkr,894,0,864,0.001999267,1,0,3,1,Gd,6,0,1.998003356,636.4718489,Y,0,0,6,2007,WD ,Normal,150000,148000.0645,1999.935468,,
2203,754,20,RL,6120,Reg,Lvl,Inside,MeadowV,1Fam,1Story,7,5,2008,2002,Gable,VinylSd,VinylSd,Gd,PConc,1648.359526,490.005482,1252.639432,Ex,Y,SBrkr,910,0,1040,1.001999432,2,0,3,1,Gd,7,1,2.998004312,645.7062368,Y,0,0,5,2009,WD ,Normal,115000,128321.2372,-13321.23717,,
565,1464,60,RL,16269,Reg,Lvl,Inside,Somerst,1Fam,2Story,7,5,2007,2007,Gable,VinylSd,VinylSd,Gd,PConc,1530.392086,497.3870966,1269.97802,Ex,Y,SBrkr,864,0,1456,1.001999442,2,1,3,1,Gd,7,1,2.998003734,391.0287477,Y,0,0,6,2009,WD ,Normal,125000,121471.8564,3528.143608,,
1386,2603,120,RL,3907,Reg,Lvl,Inside,NridgHt,TwnhsE,1Story,9,5,2006,2004,Gable,VinylSd,VinylSd,Gd,PConc,1642.769195,453.7026402,1232.29264,Ex,Y,SBrkr,630,0,1728,1.001999958,2,0,2,1,Gd,6,1,1.998005786,406.6259548,Y,0,0,5,2009,WD ,Normal,239000,226944.9114,12055.08859,,
4162,2902,20,RL,6120,Reg,Lvl,Inside,Edwards,1Fam,1Story,5,5,1954,1950,Gable,VinylSd,HdBoard,TA,PConc,0.001141645,1134.107925,619.9760713,TA,Y,SBrkr,864,0,864,0.00199908,1,0,3,1,TA,6,0,0.998001275,189.4158285,Y,0,0,6,2009,WD ,Normal,145000,115411.2653,29588.73469,,
4818,1464,60,RL,8400,Reg,Lvl,Inside,SawyerW,1Fam,2Story,6,5,2007,2005,Gable,HdBoard,HdBoard,Gd,PConc,1033.915269,473.840754,1186.297959,Ex,Y,SBrkr,832,0,1040,1.001999617,2,1,3,1,Gd,7,1,1.998000729,370.0792051,Y,0,0,6,2006,WD ,Normal,145000,179454.3819,-34454.38193,,
1744,2284,50,RL,7692,Reg,Lvl,Inside,NWAmes,1Fam,1.5Fin,6,5,2008,1950,Gable,HdBoard,HdBoard,TA,CBlock,501.6913547,510.1802038,607.5869235,TA,Y,SBrkr,864,0,2784,0.001998532,2,0,3,1,TA,6,0,0.998008831,186.9442183,Y,0,0,6,2008,WD ,Normal,140000,149984.2406,-9984.240641,,
426,2163,20,RL,9600,Reg,Lvl,Inside,Gilbert,1Fam,1Story,6,5,1961,2006,Gable,VinylSd,VinylSd,TA,CBlock,960.665826,188.1577635,587.2730005,TA,Y,SBrkr,1125,0,1728,1.00199966,1,0,3,1,TA,6,0,1.998003338,395.1085343,Y,0,0,6,2009,WD ,Normal,140000,135565.6537,4434.346344,,
2340,2284,90,RL,1680,IR1,Lvl,Inside,NAmes,1Fam,1Story,5,5,1976,1977,Gable,HdBoard,HdBoard,TA,CBlock,0.001083119,860.1335608,1348.57569,TA,Y,SBrkr,1040,0,864,0.001999901,1,0,3,1,TA,6,0,0.998001032,198.3120907,Y,0,0,6,2008,WD ,Normal,145000,140352.131,4647.869022,,
3485,1464,60,RL,9600,Reg,Lvl,Inside,Gilbert,1Fam,2Story,6,5,2007,2006,Gable,VinylSd,VinylSd,TA,PConc,0.000883316,748.7891844,568.0259453,Ex,Y,SBrkr,864,0,1456,0.001999766,2,1,3,1,TA,7,1,1.998002168,369.8540895,Y,0,0,7,2007,WD ,Normal,181000,175849.1447,5150.855311,,
4710,2163,20,RL,7200,IR1,Lvl,Inside,Somerst,1Fam,1Story,6,5,2007,2006,Gable,VinylSd,VinylSd,Gd,PConc,554.05539,1790.250436,1204.052006,Ex,Y,SBrkr,1680,0,1728,0.00199998,2,0,3,1,Gd,7,1,1.998002192,631.5863948,Y,0,0,5,2007,WD ,Partial,170000,192299.9743,-22299.97426,,
